Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed
76,2020-03-09,Maharashtra,0,0,2
91,2020-03-10,Maharashtra,0,0,5
97,2020-03-11,Maharashtra,0,0,2
120,2020-03-12,Maharashtra,0,0,11
133,2020-03-13,Maharashtra,0,0,14
146,2020-03-14,Maharashtra,0,0,14
153,2020-03-15,Maharashtra,0,0,32
167,2020-03-16,Maharashtra,0,0,32
182,2020-03-17,Maharashtra,0,1,39
197,2020-03-18,Maharashtra,0,1,42
215,2020-03-19,Maharashtra,0,1,47
235,2020-03-20,Maharashtra,0,1,52
257,2020-03-21,Maharashtra,0,1,63
280,2020-03-22,Maharashtra,0,2,67
303,2020-03-23,Maharashtra,0,2,74
326,2020-03-24,Maharashtra,0,2,89
350,2020-03-25,Maharashtra,1,3,128
380,2020-03-26,Maharashtra,1,3,124
407,2020-03-27,Maharashtra,15,4,130
434,2020-03-28,Maharashtra,25,5,180
461,2020-03-29,Maharashtra,25,6,186
488,2020-03-30,Maharashtra,25,8,198
516,2020-03-31,Maharashtra,39,9,216
546,2020-04-01,Maharashtra,39,9,302
575,2020-04-02,Maharashtra,42,13,335
605,2020-04-03,Maharashtra,42,16,335
636,2020-04-04,Maharashtra,42,24,490
666,2020-04-05,Maharashtra,42,24,490
696,2020-04-06,Maharashtra,56,45,748
726,2020-04-07,Maharashtra,56,48,868
757,2020-04-08,Maharashtra,79,64,1018
788,2020-04-09,Maharashtra,117,72,1135
819,2020-04-10,Maharashtra,125,97,1364
850,2020-04-11,Maharashtra,188,110,1574
881,2020-04-12,Maharashtra,208,127,1761
912,2020-04-13,Maharashtra,217,149,1985
944,2020-04-14,Maharashtra,229,160,2337
977,2020-04-15,Maharashtra,259,178,2687
1010,2020-04-16,Maharashtra,295,187,2919
1043,2020-04-17,Maharashtra,300,194,3205
1076,2020-04-18,Maharashtra,331,201,3323
1109,2020-04-19,Maharashtra,365,211,3651
1142,2020-04-20,Maharashtra,507,223,4203
1175,2020-04-21,Maharashtra,572,232,4669
1208,2020-04-22,Maharashtra,722,251,5221
1240,2020-04-23,Maharashtra,789,269,5652
1272,2020-04-24,Maharashtra,840,283,6430
1304,2020-04-25,Maharashtra,957,301,6817
1336,2020-04-26,Maharashtra,1076,323,7628
1368,2020-04-27,Maharashtra,1188,342,8068
1400,2020-04-28,Maharashtra,1282,369,8590
1432,2020-04-29,Maharashtra,1388,400,9318
1464,2020-04-30,Maharashtra,1593,432,9915
1496,2020-05-01,Maharashtra,1773,459,10498
1528,2020-05-02,Maharashtra,1879,485,11506
1560,2020-05-03,Maharashtra,2000,521,12296
1592,2020-05-04,Maharashtra,2115,548,12974
1624,2020-05-05,Maharashtra,2465,583,14541
1657,2020-05-06,Maharashtra,2819,617,15525
1690,2020-05-07,Maharashtra,3094,651,16758
1723,2020-05-08,Maharashtra,3301,694,17974
1756,2020-05-09,Maharashtra,3470,731,19063
1789,2020-05-10,Maharashtra,3800,779,20228
1822,2020-05-11,Maharashtra,4199,832,22171
1855,2020-05-12,Maharashtra,4786,868,23401
1888,2020-05-13,Maharashtra,5125,921,24427
1921,2020-05-14,Maharashtra,5547,975,25922
1954,2020-05-15,Maharashtra,6059,1019,27524
1987,2020-05-16,Maharashtra,6564,1068,29100
2020,2020-05-17,Maharashtra,7088,1135,30706
2053,2020-05-18,Maharashtra,7688,1198,33053
2086,2020-05-19,Maharashtra,8437,1249,35058
2119,2020-05-20,Maharashtra,9639,1325,37136
2153,2020-05-21,Maharashtra,10318,1390,39297
2187,2020-05-22,Maharashtra,11726,1454,41642
2221,2020-05-23,Maharashtra,12583,1517,44582
2255,2020-05-24,Maharashtra,13404,1577,47190
2290,2020-05-25,Maharashtra,14600,1635,50231
2325,2020-05-26,Maharashtra,15786,1695,52667
2361,2020-05-27,Maharashtra,16954,1792,54758
2397,2020-05-28,Maharashtra,17918,1897,56948
2433,2020-05-29,Maharashtra,18616,1982,59546
2469,2020-05-30,Maharashtra,26997,2098,62228
2505,2020-05-31,Maharashtra,28081,2197,65168
2541,2020-06-01,Maharashtra,29329,2286,67655
2577,2020-06-02,Maharashtra,30108,2362,70013
2613,2020-06-03,Maharashtra,31333,2465,72300
2649,2020-06-04,Maharashtra,32329,2587,74860
2685,2020-06-05,Maharashtra,33681,2710,77793
2721,2020-06-06,Maharashtra,35156,2849,80229
2757,2020-06-07,Maharashtra,37390,2969,82968
2793,2020-06-08,Maharashtra,39314,3060,85975
2829,2020-06-09,Maharashtra,40975,3169,88528
2865,2020-06-10,Maharashtra,42638,3289,90787
2902,2020-06-11,Maharashtra,44517,3438,94041
2938,2020-06-12,Maharashtra,46078,3590,97648
2974,2020-06-13,Maharashtra,47796,3717,101141
3010,2020-06-14,Maharashtra,49346,3830,104568
3046,2020-06-15,Maharashtra,50978,3950,107958
3082,2020-06-16,Maharashtra,56049,4128,110744
3118,2020-06-17,Maharashtra,57851,5537,113445
3154,2020-06-18,Maharashtra,59166,5651,116752
3190,2020-06-19,Maharashtra,60838,5751,120504
3226,2020-06-20,Maharashtra,62773,5893,124331
3262,2020-06-21,Maharashtra,64153,5984,128205
3298,2020-06-22,Maharashtra,65744,6170,132075
3334,2020-06-23,Maharashtra,67706,6283,135796
3370,2020-06-24,Maharashtra,69631,6531,139010
3406,2020-06-25,Maharashtra,73792,6739,142900
3442,2020-06-26,Maharashtra,77453,6931,147741
3478,2020-06-27,Maharashtra,79815,7106,152765
3514,2020-06-28,Maharashtra,84245,7273,159133
3550,2020-06-29,Maharashtra,86575,7429,164626
3586,2020-06-30,Maharashtra,88960,7610,169883
3622,2020-07-01,Maharashtra,90911,7855,174761
3658,2020-07-02,Maharashtra,93154,8053,180298
3694,2020-07-03,Maharashtra,101172,8178,186626
3730,2020-07-04,Maharashtra,104687,8376,192990
